Số/ký hiệu,Ngày ban hành,Trích yếu,Cơ quan ban hành,Đính kèm
229/QĐ- UBND,17/01/2022,"Phê duyệt danh sách chuyển cách ly, điều trị đối với trường hợp bệnh nhân nhiễm SARS - CoV -2 tại khu cách ly tập trung về thực hiện cách ly tại nhà",UBND Huyện Vân Đồn,
174/UBND- YT,17/01/2022,Về việc rà soát lập danh sách đối tượng trong độ tuổi từ đủ 13 tuổi đến dưới 12 tuổi chuẩn bị cho công tác tiêm chủng vắc xin phòng Covid-19 trên địa bàn huyện,UBND Huyện Vân Đồn,
178/KH- UBND,17/01/2022,Tổ chức lễ giao nhận quân năm 2022,UBND Huyện Vân Đồn,
230/QĐ- UBND,17/01/2022,"Phê duyệt danh sách ngừng cách ly, điều trị đối với trường hợp nhiệm SARS-CoV2 và tiếp tục thực hiện cách ly tại nhà 7 ngày",UBND Huyện Vân Đồn,
183/KH-UBND,17/01/2022,Triển khai thi hành luật phòng chống ma túy trên địa bàn huyện Vân Đồn năm 2022,UBND Huyện Vân Đồn,
178/CV-SGD&ĐT,17/01/2022,"Kế hoạch thực hiện chương trình “Tăng cường giáo dục lý tưởng cách mạng, đạo đức, lối sống và khơi dậy khát vọng cống hiến cho thanh niên, thiếu niên nhi đồng giai đoạn 2021 - 2030",Sở Giáo Dục và Đào Tạo,
173/CV-SGD&ĐT,17/01/2022,Thông báo số 2 về việc tổ chức Cuộc thi khoa học kĩ thuật cấp tỉnh học sinh trung học năm học 2021-2022,Sở Giáo Dục và Đào Tạo,
356/UBND-NLN1,17/01/2022,"V/v kiểm tra, xử lý tình trạng chiếm dụng luồng giao thông thủy sông Hốt gây cản trở giao thông thủy",UBND tỉnh Quảng Ninh,
362/UBND-VX1,17/01/2022,"V/v triển khai thực hiện Chương trình về phòng, chống bạo lực gia đình trong tình hình mới đến năm 2025",UBND tỉnh Quảng Ninh,
376/UBND-VX2,17/01/2022,"V/v nghỉ Tết Nguyên đán Nhâm Dần và Quốc khánh năm 2022 của cán bộ, công chức, viên chức và người lao động",UBND tỉnh Quảng Ninh,
13/TB-UBND,17/01/2022,"TB Kết luận của đ/c Phạm Văn Thành - PCT UBND tỉnh tại cuộc họp nghe báo cáo quy hoạch xử lý rác thải, nước thải tích hợp vào quy hoạch tỉnh thời kỳ 2021 - 2030, tầm nhìn đến năm 2050 và báo cáo tổng thể về Kế hoạch quản lý, thực hiện công tác bảo vệ môi trường đối với việc thu gom, xử lý rác thải sinh hoạt trên địa bàn tỉnh trong năm 2022",UBND tỉnh Quảng Ninh,
386/UBND-VX5,17/01/2022,"V/v thực hiện rà soát, tiêm đủ liều các liều vắc xin thuộc Chương trình tiêm chủng mở rộng cho trẻ em từ 18-24 tháng tuổi",UBND tỉnh Quảng Ninh,
382/UBND-VX1,17/01/2022,V/v tổ chức trực và báo cáo tình hình trong dịp Tết Nguyên đán Nhâm Dần năm 2022,UBND tỉnh Quảng Ninh,
184/KH-UBND,17/01/2022,Thực hiện công tác phòng chống tệ nạn xã hội trên địa bàn huyện Vân Đồn năm 2022,UBND Huyện Vân Đồn,
167/UBND- TCKH,17/01/2022,Về việc thực hiện chế độ công khai ngân sách hàng năm,UBND Huyện Vân Đồn,
98/UBND-VP,17/01/2022,"Công văn về việc thực hiện công tác đảm bảo cân đối cung cầu, bình ổn thị trường; đẩy mạnh tiêu thụ sản phẩm OCOP và sản phẩm nông sản của tỉnh trước, trong và sau tết Nguyên đán Nhâm Dần",UBND Huyện Hải Hà,
164/CV- BCĐ,16/01/2022,Về việc đề nghị cấp bổ sung vắc xin phòng Covid-19 tiêm cho đối tượng trên địa bàn,UBND Huyện Vân Đồn,
16/KH-UBND,16/01/2022,16/KH-UBND,UBND tỉnh Quảng Ninh,
296/UBND-XD6,14/01/2022,"v/v đảm bảo an ninh trật tự liên quan đến hoạt động khai thác, tập kết, chế biến, vận chuyển, kinh doanh than trên địa bàn tỉnh (lắp đặt camera tại các cảng, bến tiêu thụ than)",UBND tỉnh Quảng Ninh,
299/UBND-XD6,14/01/2022,"V/v đôn đốc tiến độ thực hiện các nội dung chỉ đạo của UBND tỉnh liên quan đến lĩnh vực CNTT, chuyển đổi số",UBND tỉnh Quảng Ninh,
207/QĐ- UBND,14/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
208/QĐ- UBND,14/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
209/QĐ- UBND,14/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
148/QĐ-UBND,14/01/2022,Đề cương và dự toán chi tiết Nhiệm vụ: Nâng cao năng lực phục vụ phần mềm Quản lý văn bản và điều hành và thay mới hệ thống sao lưu dữ liệu,UBND tỉnh Quảng Ninh,
131/UBND,14/01/2022,"PA đảm bảo cung cấp lương thực, thực phẩm, nhu yếu phẩm cho các cơ sở thu dung điều trị trongTH tỷ lệ 10% dân số nhiễm Sars-CoV-2 trên địa bàn TP",UBND Thành phố Uông Bí,
88/UBND-VP,14/01/2022,Công văn về việc triển khai thực hiện Công văn số 679-CV/HU ngày 12/01/2022 của Huyện ủy,UBND Huyện Hải Hà,
329/UBND-TH4,14/01/2022,"Chương trình hành động thực hiện NQ số 01/NQ-CP ngày 08/01/2022 của Chính phủ; NQ số 08-NQ/TU ngày 25/11/2021 của Tỉnh ủy, NQ số 68/NQ-HĐND ngày 09/12/2021 của HĐND tỉnh về nhiệm vụ, giải pháp phát triển kinh tế - xã hội và dự toán ngân sách nhà nước năm 2022",UBND tỉnh Quảng Ninh,
146/QĐ-UBND,14/01/2022,V/v ban hành Chương trình công tác năm 2022 của UBND tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
110/UBND,13/01/2022,V/v tiếp tục tổ chức tiêm mũi 3 vắc xin phòng Covid-19 trên địa bàn thành phố Uông Bí (đợt 27),UBND Thành phố Uông Bí,
260/UBND-NLN1,13/01/2022,"V/v tiêu thụ sản phẩm nông, thủy sản tỉnh Quảng Ninh dịp Tết Nguyên đán Nhâm Dần năm 2022",UBND tỉnh Quảng Ninh,
05/BC-UBND,13/01/2022,"BC kết quả công tác tiếp công dân, xử lý đơn thư, giải quyết khiếu nại, tố cáo; tình hình chung về phản ánh, kiến nghị của nhân dân và kết quả giải quyết, trả lời của cơ quan có thẩm quyền trên địa bàn tỉnh trong tháng 12 năm 2021",UBND tỉnh Quảng Ninh,
11/KH-UBND,13/01/2022,KH thực hiện Chiến lược Phát triển trợ giúp pháp lý ở Việt Nam trên địa bàn tỉnh Quảng Ninh năm 2022,UBND tỉnh Quảng Ninh,
289/UBND-GT1,13/01/2022,V/v đẩy nhanh tiến độ hoàn thành các công trình giao thông trọng điểm,UBND tỉnh Quảng Ninh,
259/UBND-NLN1,13/01/2022,"V/v thực hiện công tác đảm bảo cân đối cung cầu, bình ổn thị trường; đẩy mạnh tiêu thụ sản phẩm OCOP và sản phẩm nông sản của tỉnh trước, trong và sau Tết Nguyên đán Nhâm Dần",UBND tỉnh Quảng Ninh,
170/QĐ- UBND,13/01/2022,"Về việc tặng giấy khen cho các tập thể, cá nhân có thành tích xuất sắc trong công tác phòng chống dịch bệnh Covid-19 năm 2021",UBND Huyện Vân Đồn,
182QĐ- UBND,13/01/2022,"Về việc điều chỉnh giao biên chế công chức, hợp đồng theo Nghị định 68/2000/NĐ- CP trog các cơ quan hành chính nhà nước, số lượng người làm việc hưởng lương từ ngân sách nhà nước",UBND Huyện Vân Đồn,
172/QĐ- UBND,13/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
173/QĐ- UBND,13/01/2022,"Về việc khen thưởng các tập thể, cá nhân có thành tích xuất sắc trong công tác và phong trào thi đua năm 2021",UBND Huyện Vân Đồn,
126/CV-SGD&ĐT,13/01/2022,Thông báo số 1 tổ chức cuộc thi KHKT cấp tỉnh học sinh trung học năm học 2021-2022,Sở Giáo Dục và Đào Tạo,
67/UBND-VP,13/01/2022,Công văn về việc triển khai thực hiện Công văn số 675-CV/HU ngày 08/01/2022 của Huyện ủy,UBND Huyện Hải Hà,
163/QĐ- GQXP,12/01/2022,Về việc giao quyền xử phạt hành chính,UBND Huyện Vân Đồn,
114/UBND- NN,12/01/2022,Về việc tổ chức bắn đạn thật trên biển của Lữ đoàn 170,UBND Huyện Vân Đồn,
161/QĐ- UBND,12/01/2022,"Về việc thành lập tổ công tác kiểm tra việc xây dựng,triển khai kế hoạch tổ chức các hoạt động MĐ- MX Nhâm Dân 2022",UBND Huyện Vân Đồn,
109/KH- UBND,12/01/2022,"Phòng, chống bệnh viêm da nổi cục trên Trâu bò, trên địa bàn huyện Vân Đồn giai đoạn 2022 - 2025",UBND Huyện Vân Đồn,
21/TB_ UBND,12/01/2022,Về việc tổ chức Điểm bán hoa xuân tết Nguyên đán Nhâm Dần 2022 trên địa bàn huyện,UBND Huyện Vân Đồn,
111/UBND- TCNV,12/01/2022,"Về việc tham gia ý kiến dự thảo ban hành Bộ chỉ số Cải cách hành chính đối với các phòng chuyên môn, các xã, thị trấn trên địa bàn huyện",UBND Huyện Vân Đồn,
110/CV-SGD&ĐT,12/01/2022,Kế hoạch công tác Hội nhập quốc tế ngành Giáo dục và Đào tạo năm 2022,Sở Giáo Dục và Đào Tạo,
228/UBND-GT1,12/01/2022,V/v tăng cường công tác quản lý chất lượng thi công công trình dự án Đường cao tốc Vân Đồn - Móng Cái,UBND tỉnh Quảng Ninh,
98/QĐ-UBND,12/01/2022,"Về việc Phê duyệt điều chỉnh tiến độ xây dựng Đề án và thời gian thực hiện gói thầu tư vấn xây dựng Đề án phát triển và hoàn thiện hệ thống kết cấu hạ tầng kinh tế - xã hội giai đoạn 2021 - 2025, định hướng đến năm 2030",UBND tỉnh Quảng Ninh,
100/QĐ-UBND,12/01/2022,V/v kiện toàn Ban Chỉ đạo công tác y tế trường học tỉnh Quảng Ninh,UBND tỉnh Quảng Ninh,
102/QĐ-UBND,12/01/2022,"V/v Giao 49.787,3 m2 đất không thu tiền sử dụng đất cho Cung Văn hóa Thanh thiếu nhi tỉnh Quảng Ninh để xây dựng Cung Văn hóa Thanh thiếu nhi tỉnh Quảng Ninh tại phường Bạch Đằng, thành phố Hạ Long",UBND tỉnh Quảng Ninh,
247/UBND-MT,12/01/2022,V/v tổ chức các hoạt động hưởng ứng Ngày Đất ngập nước Thế giới năm 2022,UBND tỉnh Quảng Ninh,
162/QĐ- UBND,12/01/2022,Về việc giao quyền xử phạt vi phạm hành chính,UBND Huyện Vân Đồn,
167/QĐ- UBND,12/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
679-CV/HU,12/01/2022,Công văn về việc thực hiện Thông báo số 492-TB/HU ngày 11/01/2022 của Tỉnh ủy,UBND Huyện Hải Hà,
207/UBND-VX2,11/01/2022,"V/v tập trung, đẩy nhanh tiến độ thực hiện chi trả, trao quà Tết của Chủ tịch nước, của Tỉnh cho các tập thể, cá nhân đảm bảo công tác phòng, chống dịch COVID-19",UBND tỉnh Quảng Ninh,
134/QĐ- UBND,11/01/2022,"Về việc thành lập tổ phân loại đánh giá nguy cơ và phân luồng điều trị người nhiễm SARS- CoV- 2 (F0) tại cộng đồng, cơ sở cách ly điều trị tập trung trên địa bàn huyện",UBND Huyện Vân Đồn,
90/UBND- TCKH,11/01/2022,"Về việc rà soát, đối chiếu số liệu tình hình quản lý, sử dụng tài sản công đến hết ngày 31/12/2020",UBND Huyện Vân Đồn,
210/UBND-GD,11/01/2022,"V/v tiếp tục thực hiện công tác giáo dục lý tưởng cách mạng, đạo đức, lối sống văn hóa cho thế hệ trẻ Quảng Ninh",UBND tỉnh Quảng Ninh,
10/KH-UBND,11/01/2022,"KH Thực hiện công tác y tế Trường học trong các cơ sở giáo dục mầm non, giáo dục phổ thông và giáo dục thường xuyên trên địa bàn tỉnh Quảng Ninh năm học 2021 - 2022",UBND tỉnh Quảng Ninh,
137/QĐ- UBND,11/01/2022,Phê duyệt danh sách trường hợp áp dụng biện pháp cách ly y tế tại nhà,UBND Huyện Vân Đồn,
136/QĐ- UBND,11/01/2022,Phê duyệt danh sách trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
91/UBND- YT,11/01/2022,"Về việc rà soát, lập danh sách triển khai tiêm chủng vắc xin phòng Covid-19 tại nhà cho nhân dân trên địa bàn huyện",UBND Huyện Vân Đồn,
88/QĐ-UBND,11/01/2022,"V/v phê chuẩn kết quả bầu bổ sung chức vụ Phó Chủ tịch UBND huyện Cô Tô, nhiệm kỳ 2021-2026",UBND tỉnh Quảng Ninh,
89/QĐ-UBND,11/01/2022,"V/v phê chuẩn kết quả bầu bổ sung chức vụ Chủ tịch UBND huyện Cô Tô, nhiệm kỳ 2021-2026",UBND tỉnh Quảng Ninh,
51/UBND-VP,11/01/2022,Công văn về việc tăng cường bảo đảm an toàn hòng cháy dịp tết Dương lịch và tết Nguyên đán Nhâm Dần năm 2022,UBND Huyện Hải Hà,
01/2022/QĐ- UBND,10/01/2022,Về việc ban hành Quy chế làm việc của Ủy ban nhân dân huyện Vân Đồn khóa XX nhiệm kỳ 2021 - 2026,UBND Huyện Vân Đồn,
67/UBND- CA,10/01/2022,Về việc tăng cường bảo đảm an toàn phòng cháy chữa cháy dịp tết Nguyên đán Nhâm Dần 2022,UBND Huyện Vân Đồn,
66/UBND- TCNV,10/01/2022,Về việc đăng ký nhu cầu tuyển dụng công chức năm 2022,UBND Huyện Vân Đồn,
69/UBND- TCNV,10/01/2022,"Về việc đăng ký nhu cầu tuyển dụng, tiếp nhận viên chức năm 2022",UBND Huyện Vân Đồn,
65/UBND- LĐTBXH,10/01/2022,về việc giới thiệu doanh nghiệp tuyển chọn lao động của tỉnh đi làm việc có thời hạn ở nước ngoài,UBND Huyện Vân Đồn,
68/KH- UBND,10/01/2022,Thăm chúc tết Nguyên đán Nhâm Dần năm 2022,UBND Huyện Vân Đồn,
117/QĐ- UBND,10/01/2022,"Phê duyệt danh sách ngừng cách ly, điều trị đối với trường hợp nhiễm SARS- CoV -2 và tiếp tục thực hiện cách ly tại nhà 7 ngày",UBND Huyện Vân Đồn,
111/QĐ- UBND,10/01/2022,Về việc thành lập Ban chỉ đạo thực hiện kiểm kê rừng trên địa bàn huyện Vân Đồn,UBND Huyện Vân Đồn,
75/UBND- TCKH,10/01/2022,Về việc tham gia ý kiến về nội dung chương trình tổ chức Lễ ký kết Bản ghi nhớ hợp tác chiến lược giữa UBND tỉnh Quảng Ninh và Tập đoàn SOVICO,UBND Huyện Vân Đồn,
108/QĐ- UBND,10/01/2022,"Về việc phân công công việc của Chủ tịch, Phó Chủ tịch và các thành viên UBND huyện Vân Đồn khóa XX nhiệm kỳ 2021 - 2026",UBND Huyện Vân Đồn,
78/KH- UBND,10/01/2022,"Tổ chức các hoạt động ""Mừng Đảng - Mừng xuân"" Nhâm Dần 2022",UBND Huyện Vân Đồn,
77/KH-UBND,10/01/2022,Tổ chức điểm bán hoa xuân tết Nguyên đán Nhâm Dần trên địa bàn huyện Vân Đồn,UBND Huyện Vân Đồn,
09/KH-UBND,10/01/2022,KH Tổ chức hoạt động hưởng ứng các ngày lễ môi trường trên địa bàn tỉnh Quảng Ninh năm 2022,UBND tỉnh Quảng Ninh,
69/QĐ-UBND,10/01/2022,"V/v công bố danh mục thủ tục hành chính sửa đổi, bổ sung thuộc phạm vi, chức năng quản lý của Sở Lao động - Thương binh và Xã hội",UBND tỉnh Quảng Ninh,
12/TB- UBND,10/01/2022,"Công bố số điện thoại đường dây nóng để tiếp nhận thông tin người nhiêm, nghi nhiễm Covid-19 của UBND huyện và UBND các xã thị trấn thuôc huyện",UBND Huyện Vân Đồn,
08/KH-UBND,10/01/2022,"KH thực hiện công tác phòng, chống tệ nạn xã hội trên địa bàn tỉnh Quảng Ninh năm 2022",UBND tỉnh Quảng Ninh,
07/KH-UBND,10/01/2022,"KH Hỗ trợ giải phóng hàng hóa hiện đang chờ xuất khẩu; đảm bảo an ninh trật tự, trật tự đô thị, bảo vệ môi trường tại các cửa khẩu, lối mở biên giới tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
07/BCĐ,10/01/2022,"v/v tập trung triển khai nhiệm vụ về phòng chống tội phạm, tệ nạn xã hội và xây dựng phong trào toàn dân bảo vệ an ninh Tổ quốc năm 2022",UBND tỉnh Quảng Ninh,
04/KH-UBND,10/01/2022,"KH phòng, chống dịch bệnh ngành nông nghiệp tỉnh Quảng Ninh năm 2022",UBND tỉnh Quảng Ninh,
07/TB-UBND,10/01/2022,"TB Kết quả xếp hạng các huyện, thị xã, thành phố về công tác quản lý an toàn thực phẩm nông, lâm, thủy sản năm 2021 trên địa bàn tỉnh Quảng Ninh",UBND tỉnh Quảng Ninh,
01/BC-UBND,10/01/2022,"BC Tình hình thực hiện đánh giá tác động chính sách, đánh giá thủ tục hành chính trong dự án, dự thảo văn bản quy phạm pháp luật năm 2021",UBND tỉnh Quảng Ninh,
06/KH-UBND,10/01/2022,"KH cơ cấu lại ngành Nông nghiệp và Phát triển nông thôn tỉnh QN, giai đoạn 2022 - 2025",UBND tỉnh Quảng Ninh,
15/TB-UBND,10/01/2022,"TB giao kế hoạch thu giá dịch vụ thu gom, vận chuyển và xử lý rác thải sinh hoạt trên địa bàn thành phố năm 2022",UBND Thành phố Uông Bí,
63/UBND,10/01/2022,V/v vận hành Trạm y tế lưu động trên địa bàn thành phố,UBND Thành phố Uông Bí,
59/UBND-GD,09/01/2022,V/v tổ chức các hoạt động giáo dục trên địa bàn thành phố phù hợp với cấp độ dịch Covid-19,UBND Thành phố Uông Bí,
58/UBND,09/01/2022,V/v tổ chức các hoạt động KT-XH trên địa bàn thành phố UB phù hợp với cấp độ dịch,UBND Thành phố Uông Bí,
131/UBND-XD2,09/01/2022,"V/v dừng hoạt động tại các chốt kiểm soát thông tin, điểm khai báo y tế, quét mã QR code ra, vào tỉnh",UBND tỉnh Quảng Ninh,
57/UBND,08/01/2022,V/v tiếp tục tổ chức tiêm mũi 3 vắc xin phòng Covid-19 trên địa bàn thành phố Uông Bí (đợt 26),UBND Thành phố Uông Bí,
05/TB-UBND,08/01/2022,TBKL của đ/c Phạm Tuấn Đạt - CT UBND thành phố (v/v đồng ý tổ chức chợ hoa xuân thành phố năm 2022),UBND Thành phố Uông Bí,
82/QĐ- UBND,08/01/2022,Phê duyệt danh sách các trường hợp áp dụng biện pháp cách ly y tế,UBND Huyện Vân Đồn,
81/QĐ- UBND,08/01/2022,Phê duyệt danh sách các trường hợp ngừng áp dụng biện pháp cách ly tập trung và tiếp tục thực hiện theo dõi sức khỏe tại nhà 7 ngày,UBND Huyện Vân Đồn,
83/QĐ- UBND,08/01/2022,Về việc kiện toàn 03 trạm Y tế lưu động phòng chống dịch Covid-19 trên địa bàn huyện Vân Đồn,UBND Huyện Vân Đồn,
675-CV/HU,08/01/2022,Công văn về việc thực hiện Thông báo số 489-TB/HU ngày 07/01/2022 của Tỉnh ủy,UBND Huyện Hải Hà,
78/QĐ- UBND,07/01/2022,"Về việc thành lập các tổ tiêm chủng, tổ cấp cứu, tổ hậu cần triển khai tiêm chủng diện rộng vắc xin phòng Covid-19 mũi 3 cho người dân",UBND Huyện Vân Đồn,
46/KH- UBND,07/01/2022,Tìm kiếm quy tập hài cốt liệt sĩ và xác định danh tính hài cốt liệt sĩ còn thiếu thông tin đến năm 2030 và những năm tiếp theo,UBND Huyện Vân Đồn,
09/TB- UBND,07/01/2022,Kích hoạt cơ sỏ điều trị cách ly F0 và trạm y tế lưu động tại xã Hạ Long huyện Vân Đồn,,
56/UBND,07/01/2022,V/v triển khai Đợt cao điểm đẩy lui dịch bệnh phục vụ nhân dân đón Tết vui xuân,UBND Thành phố Uông Bí,
79/QĐ- UBND,07/01/2022,Về việc công bố công khai dự toán ngân sách năm 2022 của huyện Vân Đồn,UBND Huyện Vân Đồn,
94/UBND-TH5,07/01/2022,"V/v triển khai việc củng cố lại hệ thống trạm y tế xã, phường, thị trấn, y tế học đường đáp ứng yêu cầu phòng, chống dịch COVID-19",UBND tỉnh Quảng Ninh,
5/TB-UBNDTB,07/01/2022,"Kết luận của đồng chí Bùi Văn Khắng, PCT UBND tỉnh - Phó Trươn Ban phụ trách Ban An toàn giao thông tỉnh tại Hội nghị",UBND tỉnh Quảng Ninh,
52/CV-SGD&ĐT,07/01/2022,"Phát động tổ chức “Tết trồng cây đời đời nhớ ơn Bác Hồ” xuân Nhâm Dần 2022; tăng cường đảm bảo an toàn công tác phòng cháy, chữa cháy và công tác khí tượng thủy văn",Sở Giáo Dục và Đào Tạo,
26/UBND-VP,07/01/2022,Công văn về việc triển khai thực hiện Kết luận số 12-KL/HU ngày 07/01/2022 của BCĐ phòng chống dịch Covid-19 huyện,UBND Huyện Hải Hà,
31/UBND,06/01/2022,V/v tiếp tục tổ chức tiêm mũi 3 vắc xin phòng chống dịch bệnh Covid-19 trên địa bàn thành phố (đợt 25),UBND Thành phố Uông Bí,
19/QĐ- UBND,06/01/2022,Phê duyệt danh sách các trường hợp ngừng áp dụng biện pháp cách ly y tế tập trung và tiếp tục thực hiện cách ly tại nhà 7 ngày,UBND Huyện Vân Đồn,
38/UBND,06/01/2022,Công văn v/v triển khai Thông báo số 478-TB/TU ngày 05/01/2022 của Tỉnh uỷ Quảng Ninh,UBND Thành phố Uông Bí,
